model,r2_mean,r2_std,mae_mean,mae_std
random_forest,0.9866523220292324,0.0085491901797361,0.0049577502329571,0.0006648410750215
mlp_ensemble,0.9770193297248078,0.0145922019571671,0.0057097373539403,0.0009165560413258
gradient_boosting,0.976642762702993,0.0112668325443144,0.0101313351585901,0.0009866047146655
ridge,0.6706902260025567,0.0543011143002743,0.0466724740320036,0.0013892707782117
