t_h,median,lo95,hi95
0.0,100.0,100.0,100.0
0.1,92.9758885884929,89.72034443237015,95.05759796273543
0.2,86.24464815804426,80.19809304247633,90.23859794427736
0.30000000000000004,79.73538419760249,71.18370714469243,85.61995680046707
0.4,73.50271101984475,62.81094689658285,81.10153349674844
0.5,67.5246818920632,55.23391424098728,76.64499366132995
0.6000000000000001,62.00845645901564,48.30489748104618,72.43316247319885
0.7000000000000001,56.59561983667956,41.458962909656,68.25029666436915
0.8,51.42260797061452,35.246876490671866,64.18120172029376
0.9,46.28085087205466,29.820058879473258,60.2239194975496
1.0,41.65768206568556,25.060728663325445,56.42041025999633
1.1,37.268002429581685,20.310791579432074,52.73715532635112
1.2000000000000002,33.35879774511054,16.14990966350319,49.1765369666171
1.3,29.595774020319638,12.173470403042229,45.74669936858889
1.4000000000000001,25.946896164978398,9.876091071679797,42.450548862916314
1.5,22.657852832071566,7.1186721818408705,39.29020420563872
1.6,19.53976849987925,5.074804003543226,36.27513457594816
1.7000000000000002,17.004853190216927,3.4166282786744135,33.43135383585161
1.8,14.720004595741905,2.297045817834976,30.72400860276214
1.9000000000000001,12.487940950747689,1.4562933738331716,28.16726220159242
2.0,10.579848208076136,0.8933713435494376,25.751683999130297
2.1,9.005280740911367,0.477172597176577,23.550020805020722
2.2,7.487792886086272,0.2188054030444283,21.91435760588595
2.3000000000000003,6.277632553216399,0.1218253313954734,20.388682804079888
2.4000000000000004,5.336050844187792,0.06761417932014872,18.966068812950336
2.5,4.449634396112542,0.025522236791366972,17.598574179451468
2.6,3.7512095100954372,0.012588850293533493,16.265277679307246
2.7,3.1450023865840313,0.00535222820913575,15.025776271033799
2.8000000000000003,2.6296333944060164,0.0020400368564438185,13.874443790484872
2.9000000000000004,2.20437899359366,0.000777547387997584,12.80586588316098
3.0,1.7991018939076717,0.00029661869188924204,11.814848125763275
3.1,1.4947203736756332,0.00011326430648121361,10.8919475233019
3.2,1.235271171559721,4.3333569079913835e-05,10.032931646384716
3.3000000000000003,1.0241754509805752,1.65928230859631e-05,9.119497773300573
3.4000000000000004,0.8133061832911228,6.35973302312582e-06,8.413255925203451
3.5,0.6495442089596835,2.4406727215774434e-06,7.760006345723835
3.6,0.540955233157897,1.099470830599564e-06,7.155503601860808
3.7,0.45039199961962517,5.487590699116687e-07,6.480636174372609
3.8000000000000003,0.3749012560828046,2.7422272704048375e-07,5.828831710959331
3.9000000000000004,0.3106827587619051,1.3717044485376683e-07,5.2366372254396865
4.0,0.2567476650816434,6.875135584902747e-08,4.699667038475475
4.1000000000000005,0.2097257276603246,3.446043547777407e-08,4.288948643333716
4.2,0.17420553346121956,1.727398182696413e-08,3.9563739224171255
4.3,0.1466105181194675,8.659689848985727e-09,3.6491689344184364
4.4,0.1227074753073775,4.342173144684723e-09,3.364871690445266
4.5,0.09831259720936841,2.1786187597966185e-09,3.102582277315814
4.6000000000000005,0.0785768041200916,1.0915867154505335e-09,2.86062022351176
4.7,0.06432304569734412,5.440541898224161e-10,2.637429735047971
4.800000000000001,0.05368934749987879,2.955586322369471e-10,2.4315709921861717
4.9,0.04498719359333456,1.352118482149626e-10,2.2417119829844654
5.0,0.03730517362616349,1.0478770156173212e-10,2.044516078570392
5.1000000000000005,0.03088826545929075,5.5711442416776224e-11,1.8554266867811853
5.2,0.025108865020688955,4.0254947536305764e-11,1.6834735861995334
5.300000000000001,0.020390933930828227,2.2833678205657948e-11,1.52716613481559
5.4,0.016559563425692186,1.0839181142395595e-11,1.3851325299289696
5.5,0.01366181336332667,1.0828924185955792e-11,1.2682895791935869
5.6000000000000005,0.011314291659346262,4.099494737150625e-12,1.166005137535046
5.7,0.00941287579817424,5.919382157446349e-13,1.0719449824410117
5.800000000000001,0.007598944154249192,0.0,0.9854516687696103
5.9,0.006280138119842295,0.0,0.9059197126382746
6.0,0.005203500514962997,0.0,0.832791577743741
6.1000000000000005,0.004273250632423407,0.0,0.7655539561723268
6.2,0.003495878037404161,0.0,0.703734324277328
6.300000000000001,0.002860247356441479,0.0,0.6468977600126151
6.4,0.0023404567785425988,0.0,0.5946439955657933
6.5,0.0019153475919043452,0.0,0.546604697993904
6.6000000000000005,0.0015614069205241474,0.0,0.5024409538491463
6.7,0.001270870222533235,0.0,0.4617910722540073
6.800000000000001,0.0010344239790761882,0.0,0.4244158093672933
6.9,0.0008419927369638697,0.0,0.3900620784868879
7.0,0.0006876748899067378,0.0,0.3584861477219718
7.1000000000000005,0.0005620806498728278,0.0,0.32946386162672375
7.2,0.0004594247134932606,0.0,0.30278908276670335
7.300000000000001,0.0003755176616513346,0.0,0.27827225387557963
7.4,0.00030693521371211955,0.0,0.25573907354786257
7.5,0.0002508784934666907,0.0,0.2350292767033218
7.6000000000000005,0.00020505980512728727,0.0,0.2159955101847512
7.7,0.00016760927694240725,0.0,0.19850229883960047
7.800000000000001,0.00013699855967684414,0.0,0.1824250921609643
7.9,0.00011197843173017265,0.0,0.16764938769097848
8.0,9.152784278737932e-05,0.0,0.15406992372272194
