polyamine_flux,barrier_index
0.0,0.0
0.05,0.009900990099009903
0.1,0.03846153846153847
0.15,0.08256880733944953
0.2,0.13793103448275862
0.25,0.2
0.3,0.2647058823529412
0.35,0.32885906040268453
0.4,0.39024390243902446
0.45,0.44751381215469616
0.5,0.5
0.55,0.5475113122171946
0.6,0.5901639344262295
0.65,0.6282527881040892
0.7,0.6621621621621621
0.75,0.6923076923076923
0.8,0.7191011235955057
0.85,0.7429305912596401
0.9,0.7641509433962265
0.95,0.7830802603036877
1.0,0.8
1.05,0.8151571164510166
1.1,0.8287671232876712
1.15,0.8410174880763116
1.2,0.8520710059171598
1.25,0.8620689655172413
1.3,0.8711340206185567
1.35,0.879372738238842
1.4,0.8868778280542985
1.45,0.8937300743889479
1.5,0.9
1.55,0.9057492931196984
1.6,0.911032028469751
1.65,0.9158957106812448
1.7,0.9203821656050956
1.75,0.9245283018867925
1.8,0.9283667621776505
1.85,0.9319264805990469
1.9,0.9352331606217616
1.95,0.9383096853793953
2.0,0.9411764705882353
2.05,0.9438517686692869
2.1,0.9463519313304721
2.15,0.9486916367367881
2.2,0.9508840864440079
2.25,0.9529411764705882
2.3,0.9548736462093863
2.35,0.956691208315288
2.4,0.9584026622296173
2.45,0.960015993602559
2.5,0.9615384615384616
2.55,0.9629766753054424
2.6,0.9643366619115549
2.65,0.9656239257476796
2.7,0.96684350132626
2.75,0.968
2.8,0.9690976514215079
2.85,0.9701403404001194
2.9,0.9711316397228638
2.95,0.9720748394303267
3.0,0.972972972972973
