observed,predicted,sd
0.0612692432389354,0.06338472004595666,0.005971048849598219
0.3115348622902801,0.31182046118851636,0.002572939523787791
0.3363789181727851,0.33712010572507867,0.006249622975185314
0.3553820909577075,0.35337240972602524,0.006838142724926212
0.0610418450154351,0.051308972541299826,0.012588414539853564
0.3329643958252514,0.3325677634853614,0.0024899823603610955
0.311474915037613,0.29840053773095027,0.006115437298904382
0.092919210778525,0.08967448173550863,0.007661810842869976
0.2689071947874589,0.26753195846208694,0.003979957685123331
0.0923875791632752,0.09235892610843585,0.002751043422682731
0.3081075660979738,0.31086962204401614,0.0040343399310610465
0.1635930398796282,0.1422962049428492,0.015353862276456404
0.3317003244176986,0.22685109157414773,0.05065444543028108
0.0311372683072512,0.033786861339124764,0.004543083534173636
0.109732922588495,0.09662810144480513,0.00810054991461751
0.1270034338149726,0.13128447727234843,0.0038285281496843854
0.2979957555156673,0.29608324738514374,0.0024943110449797403
0.2211499242634781,0.2206605105410818,0.0030520664796416354
0.0070493267744494,0.01298423044276629,0.004838578110921739
0.1400674755694847,0.13236069115679552,0.009556671788021545
0.229095509844557,0.2312618537310164,0.007134845275944385
0.233264669366519,0.2331026834310533,0.006666262512556927
0.1227185488057166,0.12597039636551058,0.005120571129046686
0.1462628401233126,0.14880972918813903,0.0014527648168146062
0.3182471245854157,0.3261365265147207,0.005790379850759131
0.2521731139350917,0.17592352026328978,0.029819660112131247
0.3384215133583191,0.33857345531561506,0.003951605881733018
0.3225206787757037,0.3231789037511442,0.003974319789555332
0.0804232587887209,0.1273858617697307,0.02625963292217618
0.2253843846706178,0.21452866234988116,0.010239660785271028
0.0347017951250226,0.038565273435443304,0.0053362128436555325
0.0976317119922539,0.09509002568362368,0.002460122492381237
0.2130787100519363,0.21480608666949,0.002911796318756884
0.4008656785464773,0.4005347462930418,0.004921609057876518
0.250139255311849,0.2503777914309636,0.003538061380999
0.0892747524727266,0.08495175731894063,0.007381341172328104
0.2069829281954275,0.2117452848416042,0.0028093294479017814
0.3312124320351823,0.3298795776762934,0.002390110176883582
0.0807102586359036,0.07771147921855023,0.003526180188910685
0.1523544759230091,0.1557523299252827,0.007480656896516886
0.2049885315259123,0.19889837349425205,0.009255234002275261
0.1342197243856927,0.13533510684130826,0.00357167375844256
0.2766374141944209,0.26431801711952635,0.013603739738093073
0.4392108017209051,0.4411985313084619,0.005830388539801496
0.2436441471521542,0.2444361604654323,0.003174677898664797
0.1947836434051971,0.19240308951518206,0.0052564286610138995
0.1969234271828507,0.19778038806480575,0.0043168053135786925
0.1220131550345819,0.1197233213473895,0.008919976618181448
0.1030727618928744,0.1027501242195138,0.002219729776488917
0.2965841731300244,0.29667433032299656,0.003077797616822868
0.0723069605990918,0.07737131655374206,0.006589685172634161
0.0960313117794447,0.10038035614652033,0.002268982079292228
0.1394620282519628,0.14260765983222304,0.0023424700105963803
0.3599439730280241,0.3638305747127557,0.0061498826755535625
0.0994636686674776,0.10355863969112614,0.003262097559564946
0.0615802075600366,0.06422549550220387,0.004470013689165144
0.1855528025363195,0.1890414785599211,0.006966738100843355
0.1267301415985851,0.11106143123292363,0.006145168463752255
0.253619623723107,0.2542542882502893,0.005144640012404613
0.0493837054189045,0.04804239380738125,0.004579103217849219
0.0215057694390087,0.024418500885897323,0.015917004075950064
0.1571295010561991,0.1573431263869136,0.013310948562720961
0.16235125887328,0.16254881340809063,0.006231478296990873
0.2921118413855973,0.2908153471012819,0.003534210830885825
0.1424377728714278,0.14314219528938624,0.0024545900568258643
0.3260368979315307,0.3253597592634909,0.006215654295968394
0.3156558942667469,0.3158189983886681,0.003462609567463781
0.033727417068196,0.03723862768386245,0.007047372957758483
0.0323589272004414,0.034436523013653055,0.007264772078182489
0.2693501192906809,0.27194335674670383,0.004350713599074931
0.0613775239472915,0.06283595551469069,0.001612465597655291
0.0932432409572514,0.08712123230506333,0.003932467573129085
0.2270555971851336,0.22792821809561242,0.00311078526401033
0.3740082501953085,0.37299923380886574,0.006369106724872316
0.0568464713674549,0.05703982340686511,0.005706139560783074
0.0479392616771678,0.046969174831596835,0.008413843571360189
0.0555875290244297,0.05494301001308623,0.016263445049860686
