model,r2_mean,r2_std,mae_mean,mae_std
random_forest,0.9866523220292323,0.008549190179736191,0.004957750232957143,0.0006648410750215788
mlp_ensemble,0.9770193297248078,0.014592201957167195,0.005709737353940368,0.0009165560413258416
gradient_boosting,0.976642762702993,0.011266832544314404,0.010131335158590174,0.0009866047146655332
ridge,0.6706902260025567,0.05430111430027434,0.04667247403200366,0.0013892707782117378
