gene,growth,ratio,classification,model,wt_growth
YBR147W,0.08404225581836022,0.9999997834378556,neutral,CNCM_I745,0.084042
YBR149W,0.08404225581836022,0.9999997834378556,neutral,CNCM_I745,0.084042
YBR153W,0.0,0.0,essential,CNCM_I745,0.084042
YBR159W,0.08404225581835986,0.9999997834378513,neutral,CNCM_I745,0.084042
YBR161W,0.08404225581835942,0.999999783437846,neutral,CNCM_I745,0.084042
YBR166C,0.0,0.0,essential,CNCM_I745,0.084042
YBR176W,0.0,0.0,essential,CNCM_I745,0.084042
YBR177C,0.08404223716580782,0.9999995614953555,neutral,CNCM_I745,0.084042
YBR180W,0.0840422371658087,0.9999995614953661,neutral,CNCM_I745,0.084042
YBR183W,0.0840422371658087,0.9999995614953661,neutral,CNCM_I745,0.084042
YBR192W,0.0840422371658087,0.9999995614953661,neutral,CNCM_I745,0.084042
YBR196C,0.08404225581835996,0.9999997834378525,neutral,CNCM_I745,0.084042
YBR199W,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR204C,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR205W,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR208C,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR213W,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR218C,0.08404225581836008,0.9999997834378539,neutral,CNCM_I745,0.084042
YBR221C,0.07955668364999252,0.9466269752798119,neutral,CNCM_I745,0.084042
YBR222C,0.0840422558183592,0.9999997834378433,neutral,CNCM_I745,0.084042
YBR229C,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR235W,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR241C,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR242W,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR243C,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR244W,0.08404225581835974,0.9999997834378498,neutral,CNCM_I745,0.084042
YBR248C,0.0,0.0,essential,CNCM_I745,0.084042
YBR249C,0.08404223716580905,0.9999995614953703,neutral,CNCM_I745,0.084042
YBR252W,0.08404223716580882,0.9999995614953674,neutral,CNCM_I745,0.084042
YBR256C,0.0,0.0,essential,CNCM_I745,0.084042
YBR263W,0.0,0.0,essential,CNCM_I745,0.084042
YBR265W,0.08404223716581172,0.9999995614954019,neutral,CNCM_I745,0.084042
YBR281C,0.08404223716580854,0.9999995614953642,neutral,CNCM_I745,0.084042
YBR291C,0.08385357858959433,0.9977547557899384,neutral,CNCM_I745,0.084042
YBR293W,0.08404223716580811,0.9999995614953591,neutral,CNCM_I745,0.084042
