contrast,reaction,name,mean_diff,cohens_d,p,p_adj
ileum_vs_colon,r_0067,4-aminobenzoate synthase,2e-06,1.4509,1.4022261196218646e-10,4.957008902130816e-10
ileum_vs_colon,r_0068,4-aminobutyrate transaminase,0.0,0.0,,
ileum_vs_colon,r_0069,4-hydroxy-L-threonine synthase,0.0,0.0,,
ileum_vs_colon,r_0070,4-hydroxybenzoate formation,0.0,0.0,,
ileum_vs_colon,r_0072,4-methyl-2-oxopentanoate decarboxylase,-0.0,-0.1298,0.487459741764605,0.512174945033549
ileum_vs_colon,r_0073,4PP-IP5 depyrophosphorylation to IP6,0.0,0.0,,
ileum_vs_colon,r_0074,"4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",0.0,0.0,,
ileum_vs_colon,r_0075,5'-methylthioadenosine phosphorylase,7e-06,1.4509,1.4022261200402128e-10,4.957008902130816e-10
ileum_vs_colon,r_0076,5'-nucleotidase (CMP),0.0,0.0,,
ileum_vs_colon,r_0077,5'-nucleotidase (IMP),0.0,0.0,,
ileum_vs_colon,r_0078,5'-nucleotidase (UMP),0.0,0.0,,
ileum_vs_colon,r_0079,5'-phosphoribosylformyl glycinamidine synthetase,0.003891,1.4509,1.4018964657561071e-10,4.957008902130816e-10
ileum_vs_colon,r_0080,"5,10-methylenetetrahydrofolate reductase (NADPH)",0.008422,1.4507,1.4062316722999152e-10,4.957008902130816e-10
ileum_vs_colon,r_0081,5-aminolevulinate synthase,0.0,0.8697,1.788455498657491e-05,5.341266712057442e-05
ileum_vs_colon,r_0082,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate diphosphohydrolase",0.0,0.0,,
ileum_vs_colon,r_0083,"5-diphosphoinositol-1,2,3,4,6-pentakisphosphate synthase",0.0,0.0,,
ileum_vs_colon,r_0084,5-formethyltetrahydrofolate cyclo-ligase,0.0,0.0,,
ileum_vs_colon,r_0085,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,0.0,0.0,,
ileum_vs_colon,r_0086,5-methylthio-5-deoxy-D-ribulose 1-phosphate dehydratase,7e-06,1.4509,1.402226120045627e-10,4.957008902130816e-10
ileum_vs_colon,r_0087,5-methylthioribose-1-phosphate isomerase,7e-06,1.4509,1.402226120045627e-10,4.957008902130816e-10
ileum_vs_colon,r_0088,"5PP-IP5 pyrophosphorylation to 4,5-PP2-IP4",0.0,0.0,,
ileum_vs_colon,r_0089,"5PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",0.0,0.0,,
ileum_vs_colon,r_0090,6-phosphofructo-2-kinase,0.0,0.0,,
ileum_vs_colon,r_0091,6-phosphogluconolactonase,0.116248,0.3891,0.040567261245323935,0.10425852972439101
ileum_vs_colon,r_0092,6PP-IP5 depyrophosphorylation to IP6,0.0,0.0,,
ileum_vs_colon,r_0093,"6PP-IP5 pyrophosphorylation to 5,6-PP2-IP4",0.0,0.0,,
ileum_vs_colon,r_0094,8-amino-7-oxononanoate synthase,0.0,0.0,,
ileum_vs_colon,r_0095,acetaldehyde condensation,0.0,0.0,,
ileum_vs_colon,r_0096,acetohydroxy acid isomeroreductase,0.025738,1.4509,1.402226119741257e-10,4.957008902130816e-10
ileum_vs_colon,r_0097,acetolactate synthase,0.025738,1.4509,1.4022261197412327e-10,4.957008902130816e-10
ileum_vs_colon,r_0099,acetyl-CoA ACP transacylase,0.0,0.0,,
ileum_vs_colon,r_0100,acetyl-CoA C-acyltransferase (palmitoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0101,acetyl-CoA C-acyltransferase (tetracosanoyl-CoA),0.0,0.0212,0.9095216267114273,0.9195836785626547
ileum_vs_colon,r_0102,acetyl-CoA C-acyltransferase (myristoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0103,acetyl-CoA C-acetyltransferase,-0.0,-0.043,0.8178952592612136,0.8405247723633025
ileum_vs_colon,r_0104,acetyl-CoA C-acetyltransferase,0.008408,1.4509,1.402228308481272e-10,4.957008902130816e-10
ileum_vs_colon,r_0105,acetyl-CoA C-acyltransferase (lauroyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0106,acetyl-CoA C-acyltransferase (octanoyl-CoA),0.0,0.1857,0.32153693526426724,0.36383675149614836
ileum_vs_colon,r_0107,acetyl-CoA C-acyltransferase (decanoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0108,acetyl-Coa carboxylase,0.0,0.0,,
ileum_vs_colon,r_0109,"acetyl-CoA carboxylase, reaction",0.04499,1.4509,1.4022261197549533e-10,4.957008902130816e-10
ileum_vs_colon,r_0111,acetyl-CoA hydrolase,0.0,0.0,,
ileum_vs_colon,r_0112,acetyl-CoA synthetase,0.047535,1.2171,1.735758616993559e-08,5.606176899606526e-08
ileum_vs_colon,r_0113,acetyl-CoA synthetase,-0.0,-10.7719,3.6537687378466474e-54,1.4249698077602272e-52
ileum_vs_colon,r_0114,acetyl-CoA synthetase nuclear,0.0,0.0,,
ileum_vs_colon,r_0115,acetylglutamate kinase,0.002803,0.5508,0.004400108405770351,0.012084804776411528
ileum_vs_colon,r_0116,acid phosphatase (secreted),0.0,0.0,,
ileum_vs_colon,r_0117,aconitase,0.0,0.0,,
ileum_vs_colon,r_0118,acteylornithine transaminase,0.002803,0.5508,0.004400108405770351,0.012084804776411528
ileum_vs_colon,r_0119,acyl carrier protein synthase,0.0,0.0,,
ileum_vs_colon,r_0120,acyl-CoA oxidase (decanoyl-CoA),0.0,0.1857,0.32153693526426724,0.36383675149614836
ileum_vs_colon,r_0121,acyl-CoA oxidase (dodecanoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0122,acyl-CoA oxidase (hexacosanoyl-CoA),0.0,0.0212,0.9095216267114273,0.9195836785626547
ileum_vs_colon,r_0123,acyl-CoA oxidase (hexadecanoyl-CoA),0.0,10.7719,3.653768737846736e-54,1.4249698077602272e-52
ileum_vs_colon,r_0124,acyl-CoA oxidase (octadecanoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0125,acyl-CoA oxidase (tetradecanoyl-CoA),0.0,0.0,,
ileum_vs_colon,r_0126,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0127,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane",0.000391,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0128,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0129,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0130,"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0131,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0132,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0133,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0134,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0135,"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane",0.0,0.0,,
ileum_vs_colon,r_0137,"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3",0.0,0.0,,
ileum_vs_colon,r_0138,adenine deaminase,0.0,0.0,,
ileum_vs_colon,r_0139,adenine phosphoribosyltransferase,0.0,0.0,,
ileum_vs_colon,r_0140,adenosine deaminase,0.0,0.0,,
ileum_vs_colon,r_0142,adenosine kinase,0.005333,1.4507,1.4085590246103092e-10,4.957008902130816e-10
ileum_vs_colon,r_0143,adenosine monophosphate deaminase,0.0,0.0,,
ileum_vs_colon,r_0144,adenosylhomocysteinase,0.005325,1.4507,1.40856763485567e-10,4.957008902130816e-10
ileum_vs_colon,r_0145,adenosylmethionine decarboxylase,7e-06,1.4509,1.4022261200398462e-10,4.957008902130816e-10
ileum_vs_colon,r_0146,adenosylmethionine-8-amino-7-oxononanoate transaminase,0.0,0.0,,
ileum_vs_colon,r_0147,adenylate cyclase,0.0,0.0,,
ileum_vs_colon,r_0148,adenylate kinase,0.262343,1.4019,3.84678961761459e-10,1.2989159747789526e-09
ileum_vs_colon,r_0149,adenylate kinase,-0.0,-10.7719,3.6537687378466474e-54,1.4249698077602272e-52
ileum_vs_colon,r_0150,adenylate kinase (GTP),0.0,0.0,,
ileum_vs_colon,r_0151,adenylosuccinate lyase (AICAR),0.003891,1.4509,1.4022261197652018e-10,4.957008902130816e-10
ileum_vs_colon,r_0152,adenylosuccinate lyase,0.005243,1.4509,1.4022261197626117e-10,4.957008902130816e-10
ileum_vs_colon,r_0153,adenylosuccinate synthase,0.005243,1.4509,1.4022261197626117e-10,4.957008902130816e-10
ileum_vs_colon,r_0154,adenylyl-sulfate kinase,0.004531,1.4509,1.4023989544123618e-10,4.957008902130816e-10
ileum_vs_colon,r_0155,"ADP-ribose 2,3-cyclic phosphodiesterase",0.0,0.0,,
ileum_vs_colon,r_0156,alanine glyoxylate aminotransferase,0.0,0.0,,
ileum_vs_colon,r_0157,alanyl-tRNA synthetase,0.013214,1.4509,1.4022261197549505e-10,4.957008902130816e-10
ileum_vs_colon,r_0158,alcohol acetyltransferase (2-methylbutanol),0.0,0.0,,
ileum_vs_colon,r_0159,alcohol acetyltransferase (ethanol),0.0,0.0,,
ileum_vs_colon,r_0160,alcohol acetyltransferase (isoamyl alcohol),0.0,0.0,,
ileum_vs_colon,r_0161,alcohol acetyltransferase (isobutyl alcohol),0.0,0.0,,
ileum_vs_colon,r_0162,alcohol acetyltransferase (phenylethanol alcohol),0.0,0.0,,
ileum_vs_colon,r_0163,alcohol dehydrogenase (ethanol to acetaldehyde),-0.0,-0.1857,0.321536935264267,0.36383675149614836
ileum_vs_colon,r_0164,"alcohol dehydrogenase (glycerol, NADP)",0.0,0.0,,
ileum_vs_colon,r_0165,mitochondrial alcohol dehydrogenase,0.003649,0.1857,0.3215369352642668,0.36383675149614836
ileum_vs_colon,r_0166,"aldehyde dehydrogenase (2-methylbutanol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0167,"aldehyde dehydrogenase (2-methylbutanol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0168,"aldehyde dehydrogenase (2-methylbutanol, NADP)",0.0,0.0,,
ileum_vs_colon,r_0169,"aldehyde dehydrogenase (2-phenylethanol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0170,"aldehyde dehydrogenase (2-phenylethanol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0171,"aldehyde dehydrogenase (2-phenylethanol, NADP)",0.0,0.0,,
ileum_vs_colon,r_0172,"aldehyde dehydrogenase (3-aminopropanal, NAD)",7e-06,1.4509,1.4022261200314625e-10,4.957008902130816e-10
ileum_vs_colon,r_0173,"aldehyde dehydrogenase (acetaldehyde, NADP)",-0.044023,-34.0004,1.9985797055225664e-83,2.3982956466270795e-81
ileum_vs_colon,r_0174,"aldehyde dehydrogenase (acetylaldehyde, NAD)",0.0,0.0,,
ileum_vs_colon,r_0175,"aldehyde dehydrogenase (acetylaldehyde, NADP)",0.0,0.0,,
ileum_vs_colon,r_0176,"aldehyde dehydrogenase (indole-3-acetaldehyde, NAD)",0.0,0.0,,
ileum_vs_colon,r_0177,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",0.0,0.0,,
ileum_vs_colon,r_0178,"aldehyde dehydrogenase (indole-3-acetaldehyde, NADP)",0.0,0.0,,
ileum_vs_colon,r_0179,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",-0.0,-0.1298,0.4875511495992437,0.512174945033549
ileum_vs_colon,r_0180,"aldehyde dehydrogenase (isoamyl alcohol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0181,"aldehyde dehydrogenase (isoamyl alcohol, NADP)",0.0,0.0,,
ileum_vs_colon,r_0182,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0183,"aldehyde dehydrogenase (isobutyl alcohol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0184,"aldehyde dehydrogenase (isobutyl alcohol, NADP)",0.0,0.0,,
ileum_vs_colon,r_0185,"aldehyde dehydrogenase (phenylacetaldehyde, NAD)",-0.0,-0.3803,0.0451693156325403,0.11438982530318648
ileum_vs_colon,r_0186,"aldehyde dehydrogenase (tryptophol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0187,"aldehyde dehydrogenase (tryptophol, NAD)",0.0,0.0,,
ileum_vs_colon,r_0188,alkaline phosphatase (dihydroneopterin),1e-06,0.8697,1.7906939041064374e-05,5.341266712057442e-05
ileum_vs_colon,r_0189,allantoate amidinohydrolase,0.0,0.0,,
ileum_vs_colon,r_0190,"allantoinase, reaction",0.0,0.0,,
ileum_vs_colon,r_0191,allophanate hydrolase,0.0,0.0,,
ileum_vs_colon,r_0192,"alpha 1,2-mannosyltransferase",0.0,0.0,,
ileum_vs_colon,r_0193,"alpha,alpha-trehalase",0.0,0.0,,
ileum_vs_colon,r_0194,"alpha,alpha-trehalase",0.0,0.0,,
ileum_vs_colon,r_0195,"alpha,alpha-trehalose-phosphate synthase (UDP-forming)",0.005189,1.4509,1.4022261197549595e-10,4.957008902130816e-10
ileum_vs_colon,r_0198,alpha-glucosidase,-0.0,-0.1857,0.321536935264267,0.36383675149614836
ileum_vs_colon,r_0199,amidase,0.0,0.0,,
ileum_vs_colon,r_0200,Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing),0.0,0.0,,
ileum_vs_colon,r_0201,Aminobutyraldehyde dehydrogenase,0.0,0.0,,
ileum_vs_colon,r_0202,anthranilate phosphoribosyltransferase,0.001748,1.3862,5.332344629084525e-10,1.7774482096948417e-09
ileum_vs_colon,r_0203,anthranilate synthase,0.001696,1.4509,1.4022261197839745e-10,4.957008902130816e-10
ileum_vs_colon,r_0204,Ap4A hydrolase,0.0,0.0,,
ileum_vs_colon,r_0205,arabinose reductase,0.0,0.0,,
ileum_vs_colon,r_0206,arginase,0.0,0.0,,
ileum_vs_colon,r_0207,argininosuccinate lyase,0.007383,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0208,argininosuccinate synthase,0.007383,1.4509,1.4022261197549714e-10,4.957008902130816e-10
ileum_vs_colon,r_0209,arginyl-tRNA synthetase,0.007383,1.4509,1.402226119754962e-10,4.957008902130816e-10
ileum_vs_colon,r_0210,arginyl-tRNA synthetase,0.0,0.0,,
