gene,growth,ratio,classification,model,wt_growth
YBR147W,0.0840422558183607,1.0000001412362045,neutral,Yeast9_base,0.084042
YBR149W,0.0840422558183607,1.0000001412362045,neutral,Yeast9_base,0.084042
YBR153W,0.0,0.0,essential,Yeast9_base,0.084042
YBR159W,0.08404225581836025,1.0000001412361992,neutral,Yeast9_base,0.084042
YBR161W,0.08404225581836004,1.0000001412361967,neutral,Yeast9_base,0.084042
YBR166C,0.0,0.0,essential,Yeast9_base,0.084042
YBR176W,0.0,0.0,essential,Yeast9_base,0.084042
YBR177C,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR180W,0.08404223275702445,0.999999866834485,neutral,Yeast9_base,0.084042
YBR183W,0.08404223275702445,0.999999866834485,neutral,Yeast9_base,0.084042
YBR192W,0.08404223275702445,0.999999866834485,neutral,Yeast9_base,0.084042
YBR196C,0.08404225581836015,1.000000141236198,neutral,Yeast9_base,0.084042
YBR199W,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR204C,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR205W,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR208C,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR213W,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR218C,0.08404225581836339,1.0000001412362365,neutral,Yeast9_base,0.084042
YBR221C,0.07955668364999273,0.9466273139814512,neutral,Yeast9_base,0.084042
YBR222C,0.08404225581836147,1.0000001412362138,neutral,Yeast9_base,0.084042
YBR229C,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR235W,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR241C,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR242W,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR243C,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR244W,0.08404225581836017,1.0000001412361983,neutral,Yeast9_base,0.084042
YBR248C,0.0,0.0,essential,Yeast9_base,0.084042
YBR249C,0.08404223275702642,0.9999998668345086,neutral,Yeast9_base,0.084042
YBR252W,0.08404223275702559,0.9999998668344986,neutral,Yeast9_base,0.084042
YBR256C,0.0,0.0,essential,Yeast9_base,0.084042
YBR263W,0.0,0.0,essential,Yeast9_base,0.084042
YBR265W,0.08404223275702555,0.9999998668344982,neutral,Yeast9_base,0.084042
YBR281C,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR291C,0.08385357420058226,0.9977550605611343,neutral,Yeast9_base,0.084042
YBR293W,0.08404223275702552,0.9999998668344978,neutral,Yeast9_base,0.084042
YBR294W,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR295W,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR296C,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR298C,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YBR299W,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YCL004W,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YCL005W-A,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YCL009C,0.08404223275702458,0.9999998668344866,neutral,Yeast9_base,0.084042
YCL018W,0.0,0.0,essential,Yeast9_base,0.084042
YCL025C,0.08404223275702527,0.9999998668344948,neutral,Yeast9_base,0.084042
YCL030C,0.0,0.0,essential,Yeast9_base,0.084042
YCL035C,0.08404223275702484,0.9999998668344897,neutral,Yeast9_base,0.084042
YCL038C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL040W,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL047C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL050C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL052C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL064C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCL069W,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCR005C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCR010C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCR011C,0.08404223275702584,0.9999998668345016,neutral,Yeast9_base,0.084042
YCR012W,0.05466504457292295,0.6504472275441195,neutral,Yeast9_base,0.084042
YCR024C,0.08404225581836224,1.000000141236223,neutral,Yeast9_base,0.084042
YCR024C-A,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR028C,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR034W,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR036W,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR037C,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR048W,0.0840422558183602,1.0000001412361985,neutral,Yeast9_base,0.084042
YCR053W,0.0,0.0,essential,Yeast9_base,0.084042
YCR068W,0.08404223275702649,0.9999998668345094,neutral,Yeast9_base,0.084042
YCR075C,0.08404223275702614,0.9999998668345053,neutral,Yeast9_base,0.084042
YCR083W,0.08404223275702614,0.9999998668345053,neutral,Yeast9_base,0.084042
YCR098C,0.08404223275702614,0.9999998668345053,neutral,Yeast9_base,0.084042
YCR105W,0.08404223275702614,0.9999998668345053,neutral,Yeast9_base,0.084042
YCR107W,0.08404223275702614,0.9999998668345053,neutral,Yeast9_base,0.084042
YDL004W,0.03418060779530628,0.4067074626925728,growth_reduced,Yeast9_base,0.084042
