zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YBL022C,0.8841,0.2262,4
duodenum,YBL023C,0.2018,0.1442,4
duodenum,YBL024W,-2.0343,0.8576,4
duodenum,YBL025W,0.018,0.1812,4
duodenum,YBL026W,-0.6302,0.438,4
duodenum,YBL027W,-2.2477,1.287,4
duodenum,YBL028C,-2.9707,0.916,4
duodenum,YBL029W,0.1935,0.1682,4
duodenum,YBL030C,0.9673,0.1708,4
duodenum,YBL031W,-0.228,0.1591,4
duodenum,YBL032W,-0.5842,0.2035,4
duodenum,YBL033C,-0.1816,0.1551,4
duodenum,YBL034C,-0.4507,0.3023,4
duodenum,YBL035C,-1.0112,0.3593,4
duodenum,YBL036C,-0.0785,0.1574,4
duodenum,YBL037W,0.2752,0.4389,4
duodenum,YBL038W,0.3745,0.2165,4
duodenum,YBL039C,-3.8115,0.8165,4
duodenum,YBL040C,0.7367,0.1991,4
duodenum,YBL041W,1.084,0.1352,4
duodenum,YBL042C,-1.9477,0.7853,4
duodenum,YBL043W,-0.1268,0.4046,4
duodenum,YBL044W,-0.835,0.2843,4
duodenum,YBL045C,1.4015,0.3815,4
duodenum,YBL046W,-0.2395,0.3129,4
duodenum,YBL047C,0.8835,0.1575,4
duodenum,YBL048W,-0.1467,0.1951,4
duodenum,YBL049W,0.6517,0.2389,4
duodenum,YBL050W,0.7923,0.1515,4
duodenum,YBL051C,0.2367,0.1004,4
duodenum,YBL052C,-1.0072,0.3071,4
duodenum,YBL053W,-0.6587,0.1877,4
duodenum,YBL054W,-2.8782,0.3266,4
duodenum,YBL055C,-0.474,0.3067,4
duodenum,YBL056W,0.4382,0.3947,4
duodenum,YBL057C,0.1822,0.2324,4
duodenum,YBL058W,0.6345,0.6001,4
duodenum,YBL059W,0.0882,0.3694,4
duodenum,YBL060W,-0.1925,0.488,4
duodenum,YBL061C,-0.118,0.1533,4
duodenum,YBL062W,-0.3453,0.5027,4
duodenum,YBL063W,-0.0824,0.2594,4
duodenum,YBL064C,3.7525,0.8847,4
duodenum,YBL065W,-0.3445,0.3606,4
duodenum,YBL066C,0.1775,0.2824,4
duodenum,YBL067C,-0.2515,0.207,4
duodenum,YBL068W,-1.3895,0.6946,4
duodenum,YBL069W,-0.4922,0.2472,4
duodenum,YBL070C,-0.569,0.5085,4
duodenum,YBL071C,-0.7286,0.1507,4
duodenum,YBL072C,-2.07,1.4525,4
duodenum,YBL073W,0.2755,0.1822,4
duodenum,YBL074C,0.6352,0.3081,4
duodenum,YBL075C,4.1085,1.3904,4
duodenum,YBL076C,-1.5685,0.4536,4
duodenum,YBL077W,-1.23,0.6064,4
duodenum,YBL078C,2.5888,0.5864,4
duodenum,YBL079W,-0.4075,0.1556,4
duodenum,YBL080C,0.4715,0.1164,4
duodenum,YBL081W,-0.4868,0.155,4
duodenum,YBL082C,-1.4692,0.3039,4
duodenum,YBL083C,-1.2465,0.4625,4
duodenum,YBL084C,0.1187,0.5423,4
duodenum,YBL085W,0.1858,0.2105,4
duodenum,YBL086C,1.1665,0.4142,4
duodenum,YBL087C,-2.225,1.3386,4
duodenum,YBL088C,-0.4209,0.5748,4
duodenum,YBL089W,-0.41,0.3202,4
duodenum,YBL090W,0.265,0.3902,4
duodenum,YBL091C,0.137,0.2539,4
duodenum,YBL092W,-1.9678,1.0905,4
duodenum,YBL093C,-0.807,0.4824,4
duodenum,YBL094C,0.127,0.1003,4
duodenum,YBL095W,0.4323,0.3159,4
duodenum,YBL096C,0.134,0.1,4
duodenum,YBL097W,0.111,0.3873,4
duodenum,YBL098W,-0.0302,0.1357,4
duodenum,YBL099W,0.5622,0.1319,4
duodenum,YBL100C,0.4768,0.1,4
