zone,systematic_id,log2_ratio,sd_log2,n_samples
duodenum,YNL124W,-1.54,0.3491,4
duodenum,YNL125C,1.391,0.8851,4
duodenum,YNL126W,-0.7245,0.2495,4
duodenum,YNL127W,0.5695,0.5416,4
duodenum,YNL128W,-0.0497,0.2988,4
duodenum,YNL129W,0.0342,0.4768,4
duodenum,YNL130C,0.8305,0.429,4
duodenum,YNL131W,0.1792,0.488,4
duodenum,YNL132W,-3.7283,0.8639,4
duodenum,YNL133C,0.213,0.4489,4
duodenum,YNL134C,2.86,1.2786,4
duodenum,YNL135C,0.0792,0.5936,4
duodenum,YNL136W,0.2047,0.3165,4
duodenum,YNL137C,0.2985,0.3835,4
duodenum,YNL138W,0.6322,0.6358,4
duodenum,YNL139C,-0.2167,0.2226,4
duodenum,YNL140C,-0.4572,0.2512,4
duodenum,YNL141W,-3.2413,0.2729,4
duodenum,YNL142W,-0.109,0.1541,4
duodenum,YNL143C,-0.216,0.4238,4
duodenum,YNL144C,0.6472,1.0243,4
duodenum,YNL145W,-0.674,0.4609,4
duodenum,YNL146W,-0.1117,0.3925,4
duodenum,YNL147W,-0.085,0.1662,4
duodenum,YNL148C,-0.4972,0.2572,4
duodenum,YNL149C,-0.8935,0.552,4
duodenum,YNL150W,-0.6627,0.6662,4
duodenum,YNL151C,-2.3365,0.7867,4
duodenum,YNL152W,0.091,0.3714,4
duodenum,YNL153C,-0.7082,0.4513,4
duodenum,YNL154C,0.103,0.229,4
duodenum,YNL155W,0.981,0.1346,4
duodenum,YNL156C,1.2812,0.1,4
duodenum,YNL157W,0.6368,0.1442,4
duodenum,YNL158W,-0.0055,0.1429,4
duodenum,YNL159C,1.2375,0.3923,4
duodenum,YNL160W,3.9905,0.3375,4
duodenum,YNL161W,-0.0605,0.1777,4
duodenum,YNL162W,-2.3108,1.3737,4
duodenum,YNL163C,-1.0699,0.4924,4
duodenum,YNL164C,-1.0648,0.3459,4
duodenum,YNL165W,-0.2952,0.1,4
duodenum,YNL166C,-0.6168,0.303,4
duodenum,YNL167C,0.367,0.4091,4
duodenum,YNL168C,0.5705,0.2016,4
duodenum,YNL169C,0.0225,0.1337,4
duodenum,YNL170W,0.0948,0.1,4
duodenum,YNL171C,0.029,0.1,4
duodenum,YNL172W,-0.068,0.2813,4
duodenum,YNL173C,1.4348,0.2122,4
duodenum,YNL174W,-4.222,1.3593,4
duodenum,YNL175C,-3.4385,1.4029,4
duodenum,YNL176C,0.1933,0.2271,4
duodenum,YNL177C,0.4275,0.1914,4
duodenum,YNL178W,-2.198,1.3147,4
duodenum,YNL179C,0.103,0.3646,4
duodenum,YNL180C,0.127,0.5973,4
duodenum,YNL181W,-0.032,0.3605,4
duodenum,YNL182C,-3.2735,1.342,4
duodenum,YNL183C,0.8995,0.2343,4
duodenum,YNL184C,-0.0213,0.4013,4
duodenum,YNL185C,0.4103,0.4099,4
duodenum,YNL186W,-1.348,0.7278,4
duodenum,YNL187W,0.3235,0.1493,4
duodenum,YNL188W,-0.6803,0.5188,4
duodenum,YNL189W,-0.2732,0.1987,4
duodenum,YNL190W,-0.5755,0.3274,4
duodenum,YNL191W,-0.2122,0.2061,4
duodenum,YNL192W,0.4015,0.1507,4
duodenum,YNL193W,0.6763,0.1647,4
duodenum,YNL194C,3.736,1.0569,4
duodenum,YNL195C,1.7258,0.5647,4
duodenum,YNL196C,-0.0525,0.1319,4
duodenum,YNL197C,-0.271,0.206,4
duodenum,YNL198C,-1.2675,0.9913,4
duodenum,YNL199C,-0.0442,0.1,4
duodenum,YNL200C,3.2198,0.3007,4
duodenum,YNL201C,-0.4685,0.5391,4
duodenum,YNL202W,0.7095,0.6842,4
duodenum,YNL203C,0.5988,0.4211,4
duodenum,YNL204C,-0.9115,0.7521,4
duodenum,YNL205C,-0.5485,0.3066,4
duodenum,YNL206C,-0.7768,0.5376,4
duodenum,YNL207W,-1.0135,0.5728,4
duodenum,YNL208W,1.9057,0.1395,4
duodenum,YNL209W,-3.3113,1.7014,4
duodenum,YNL210W,-0.872,0.6108,4
duodenum,YNL211C,-0.239,0.4609,4
duodenum,YNL212W,-0.0488,0.1059,4
duodenum,YNL213C,-0.301,0.4212,4
duodenum,YNL214W,0.191,0.108,4
duodenum,YNL215W,0.2877,0.3801,4
duodenum,YNL216W,-0.6458,0.2704,4
duodenum,YNL217W,-1.2973,0.2433,4
duodenum,YNL218W,-0.5832,0.4158,4
duodenum,YNL219C,-0.3153,0.3486,4
duodenum,YNL220W,0.0445,0.3197,4
duodenum,YNL221C,-0.704,0.4816,4
duodenum,YNL222W,0.2511,0.6338,4
duodenum,YNL223W,0.4657,0.3846,4
duodenum,YNL224C,-0.2218,0.421,4
duodenum,YNL225C,-0.1002,0.328,4
duodenum,YNL226W,-1.2995,0.4778,4
duodenum,YNL227C,-1.0703,0.405,4
duodenum,YNL228W,-1.413,0.3889,4
duodenum,YNL229C,0.1907,0.367,4
duodenum,YNL230C,0.1248,0.4695,4
duodenum,YNL231C,0.4855,0.2591,4
duodenum,YNL232W,-0.842,0.5157,4
duodenum,YNL233W,-0.2528,0.3586,4
duodenum,YNL234W,-0.5825,0.492,4
duodenum,YNL235C,-0.132,0.3276,4
duodenum,YNL236W,0.4162,1.1146,4
duodenum,YNL237W,1.4895,1.0553,4
duodenum,YNL238W,-0.2057,0.258,4
duodenum,YNL239W,1.062,0.6105,4
duodenum,YNL240C,-1.028,0.1952,4
duodenum,YNL241C,1.5278,0.5502,4
duodenum,YNL242W,0.3907,0.4757,4
duodenum,YNL243W,0.08,0.6681,4
duodenum,YNL244C,-0.6091,0.4018,4
duodenum,YNL245C,-0.1338,0.1345,4
duodenum,YNL246W,-0.6302,0.9525,4
duodenum,YNL247W,-1.7355,0.5859,4
duodenum,YNL248C,-3.7068,0.8797,4
duodenum,YNL249C,-0.2455,0.2732,4
duodenum,YNL250W,0.3183,0.1068,4
duodenum,YNL251C,-1.4604,0.5854,4
duodenum,YNL252C,0.282,0.2684,4
duodenum,YNL253W,0.0217,0.2104,4
duodenum,YNL254C,-0.7318,0.535,4
duodenum,YNL255C,-1.711,0.6733,4
duodenum,YNL256W,-1.5958,0.368,4
duodenum,YNL257C,-0.3383,0.2202,4
duodenum,YNL258C,-0.3267,0.1378,4
duodenum,YNL259C,-0.1525,0.664,4
duodenum,YNL260C,-0.1305,0.5066,4
duodenum,YNL261W,-0.096,0.2882,4
duodenum,YNL262W,-1.0874,0.4093,4
duodenum,YNL263C,0.2978,0.1041,4
duodenum,YNL264C,0.252,0.4927,4
duodenum,YNL265C,0.6945,0.1,4
duodenum,YNL266W,0.22,0.7852,4
duodenum,YNL267W,0.019,0.3207,4
duodenum,YNL268W,-0.6065,0.1979,4
duodenum,YNL269W,-0.483,0.2341,4
duodenum,YNL270C,-0.2935,0.1,4
duodenum,YNL271C,0.0184,0.1,4
duodenum,YNL272C,0.0368,0.2162,4
duodenum,YNL273W,-0.4432,0.3238,4
duodenum,YNL274C,3.6985,0.5698,4
duodenum,YNL275W,-0.0705,0.3279,4
duodenum,YNL276C,-0.021,0.1438,4
duodenum,YNL277W,0.431,0.2015,4
duodenum,YNL278W,-0.5475,0.2016,4
duodenum,YNL279W,0.1408,0.2683,4
duodenum,YNL280C,-0.0245,0.2838,4
duodenum,YNL281W,1.6997,0.6075,4
duodenum,YNL282W,-0.781,0.2075,4
duodenum,YNL283C,-0.362,0.1048,4
duodenum,YNL284C,0.489,0.2321,4
duodenum,YNL285W,-0.5855,0.6988,4
duodenum,YNL286W,0.1018,0.1102,4
duodenum,YNL287W,0.0832,0.1388,4
duodenum,YNL288W,0.1335,0.1,4
duodenum,YNL289W,0.0696,0.3005,4
duodenum,YNL290W,-0.0788,0.1,4
duodenum,YNL291C,-0.6673,0.1117,4
duodenum,YNL292W,-1.1795,0.5485,4
duodenum,YNL293W,1.3907,0.572,4
duodenum,YNL294C,0.8083,0.2682,4
duodenum,YNL295W,0.2295,0.1916,4
duodenum,YNL296W,-0.1242,0.1,4
duodenum,YNL297C,0.2742,0.1004,4
duodenum,YNL298W,-0.07,0.3146,4
duodenum,YNL299W,-1.6723,0.3286,4
duodenum,YNL300W,-1.9138,1.2058,4
duodenum,YNL301C,-1.8325,1.1764,4
duodenum,YNL302C,-0.9998,0.3638,4
duodenum,YNL303W,-1.4797,0.5778,4
duodenum,YNL304W,0.362,0.146,4
duodenum,YNL305C,2.2837,0.574,4
duodenum,YNL306W,0.6475,0.1258,4
duodenum,YNL307C,-0.0495,0.2223,4
duodenum,YNL308C,-2.7397,0.8727,4
duodenum,YNL309W,-0.428,0.231,4
duodenum,YNL310C,0.294,0.5717,4
duodenum,YNL311C,-0.5695,0.4542,4
duodenum,YNL312W,0.0985,0.1272,4
duodenum,YNL313C,-2.3822,0.8505,4
duodenum,YNL314W,0.1362,0.1931,4
duodenum,YNL315C,0.3417,0.3115,4
duodenum,YNL316C,-0.0993,0.115,4
duodenum,YNL317W,0.097,0.4182,4
duodenum,YNL318C,-0.3055,1.1495,4
duodenum,YNL319W,0.488,0.5882,4
duodenum,YNL320W,0.5548,0.5946,4
duodenum,YNL321W,0.528,0.5618,4
duodenum,YNL322C,0.997,0.6539,4
duodenum,YNL323W,-0.1097,0.3681,4
duodenum,YNL324W,0.1705,0.5672,4
duodenum,YNL325C,0.2305,0.3181,4
duodenum,YNL326C,-0.0915,0.4193,4
duodenum,YNL327W,-0.2105,0.3836,4
duodenum,YNL328C,-0.5465,0.4382,4
duodenum,YNL329C,0.0877,0.4846,4
duodenum,YNL330C,0.198,0.3511,4
duodenum,YNL331C,0.3693,0.5109,4
duodenum,YNL332W,0.486,0.1578,4
duodenum,YNL333W,0.3312,0.3134,4
duodenum,YNL334C,0.2413,0.3989,4
duodenum,YNL335W,0.0562,0.4347,4
duodenum,YNL336W,0.7385,0.4716,4
duodenum,YNL337W,-0.1368,0.3596,4
duodenum,YNL338W,-0.2016,0.2859,4
duodenum,YNL339C,-0.2964,0.3597,4
duodenum,YNR001C,3.2475,0.8614,4
duodenum,YNR002C,2.3163,0.8019,4
duodenum,YNR003C,-1.459,0.9125,4
duodenum,YNR004W,0.276,0.3475,4
duodenum,YNR005C,0.3365,0.112,4
duodenum,YNR006W,0.5677,0.4505,4
duodenum,YNR007C,-0.0852,0.9316,4
duodenum,YNR008W,0.4215,0.1973,4
duodenum,YNR009W,-1.4178,0.4515,4
duodenum,YNR010W,0.2293,0.2999,4
duodenum,YNR011C,-0.5052,0.5873,4
duodenum,YNR012W,-1.9103,0.4316,4
duodenum,YNR013C,0.1097,0.1425,4
duodenum,YNR014W,2.8493,0.5216,4
duodenum,YNR015W,-1.6765,0.2241,4
duodenum,YNR016C,-0.5872,0.3951,4
duodenum,YNR017W,-0.7055,0.4245,4
duodenum,YNR018W,-0.4818,0.216,4
duodenum,YNR019W,0.8618,0.8584,4
duodenum,YNR020C,-0.261,0.2569,4
duodenum,YNR021W,-1.2763,0.7013,4
duodenum,YNR022C,-0.3422,0.3298,4
duodenum,YNR023W,-0.0278,0.1717,4
duodenum,YNR024W,-1.2512,0.4429,4
duodenum,YNR025C,-1.0123,0.5733,4
duodenum,YNR026C,0.0595,0.1155,4
duodenum,YNR027W,-0.5065,0.32,4
duodenum,YNR028W,-0.006,0.3834,4
duodenum,YNR029C,-1.1175,0.5735,4
duodenum,YNR030W,0.2987,0.2318,4
duodenum,YNR031C,-0.1164,0.22,4
duodenum,YNR032W,0.3665,0.276,4
duodenum,YNR033W,0.311,0.2808,4
duodenum,YNR034W,1.7915,0.4786,4
duodenum,YNR035C,0.5617,1.1017,4
duodenum,YNR036C,0.7113,0.1895,4
duodenum,YNR037C,0.5125,0.1327,4
duodenum,YNR038W,-2.0435,0.6964,4
duodenum,YNR039C,-0.2835,0.118,4
duodenum,YNR040W,-0.4179,0.3749,4
duodenum,YNR041C,-0.0367,0.3989,4
duodenum,YNR042W,-0.105,0.511,4
duodenum,YNR043W,-1.113,0.3844,4
duodenum,YNR044W,-1.2597,0.7707,4
duodenum,YNR045W,0.2495,0.2186,4
duodenum,YNR046W,-1.4505,0.498,4
duodenum,YNR047W,0.6515,0.414,4
duodenum,YNR048W,-0.4545,0.452,4
duodenum,YNR049C,-0.2612,0.3329,4
duodenum,YNR050C,-0.9205,0.2231,4
duodenum,YNR051C,-0.749,0.503,4
duodenum,YNR052C,-0.2652,0.1,4
duodenum,YNR053C,-2.915,0.9189,4
duodenum,YNR054C,-2.4402,1.0475,4
duodenum,YNR055C,-0.1298,0.1003,4
duodenum,YNR056C,0.1487,0.2205,4
duodenum,YNR057C,-0.2863,0.2105,4
duodenum,YNR058W,-0.2435,0.1,4
duodenum,YNR059W,-0.2398,0.2682,4
duodenum,YNR060W,-0.3335,0.2889,4
duodenum,YNR061C,-0.553,0.3483,4
duodenum,YNR062C,-0.0597,0.2073,4
duodenum,YNR063W,-0.7315,0.1647,4
duodenum,YNR064C,-0.0935,0.1,4
duodenum,YNR065C,-0.177,0.4973,4
duodenum,YNR066C,-0.017,0.285,4
duodenum,YNR067C,-0.2178,0.1729,4
duodenum,YNR068C,0.901,1.0243,4
duodenum,YNR069C,1.1127,1.2679,4
duodenum,YNR070W,0.2955,0.4091,4
duodenum,YNR071C,0.3285,0.7934,4
duodenum,YNR072W,0.4958,0.1553,4
duodenum,YNR073C,-0.023,0.2808,4
duodenum,YNR074C,-0.205,0.2281,4
duodenum,YNR075W,-0.6712,0.7652,4
duodenum,YNR076W,-0.1825,0.8346,4
duodenum,YNR077C,-0.348,0.6339,4
duodenum,YOL001W,-0.1535,0.3941,4
duodenum,YOL002C,-1.694,0.5214,4
duodenum,YOL003C,-0.0505,0.3723,4
duodenum,YOL004W,-0.096,0.9012,4
duodenum,YOL005C,-0.0935,0.4176,4
duodenum,YOL006C,-0.5582,0.4305,4
duodenum,YOL007C,-1.1727,0.3041,4
duodenum,YOL008W,-0.0115,0.3105,4
duodenum,YOL009C,0.311,0.3969,4
duodenum,YOL010W,-2.4768,0.4565,4
duodenum,YOL011W,-0.055,0.3708,4
duodenum,YOL012C,-0.8135,0.1965,4
duodenum,YOL013C,0.4407,0.7114,4
duodenum,YOL014W,-0.0873,0.6893,4
duodenum,YOL015W,-0.5747,1.0811,4
duodenum,YOL016C,1.2894,0.6024,4
duodenum,YOL017W,-0.4968,0.1,4
duodenum,YOL018C,-0.2953,0.2387,4
duodenum,YOL019W,-0.432,0.4337,4
duodenum,YOL020W,-0.5368,0.298,4
duodenum,YOL021C,-1.2373,0.4433,4
duodenum,YOL022C,-1.9962,0.6313,4
duodenum,YOL023W,0.352,0.1922,4
duodenum,YOL024W,0.213,0.5653,4
duodenum,YOL025W,0.5917,0.3069,4
duodenum,YOL026C,0.1755,0.3484,4
duodenum,YOL027C,-0.627,0.2979,4
duodenum,YOL028C,-0.621,0.7364,4
duodenum,YOL029C,-0.3985,0.1976,4
duodenum,YOL030W,0.1227,0.2451,4
duodenum,YOL031C,0.4812,0.2123,4
duodenum,YOL032W,2.4252,0.5414,4
duodenum,YOL033W,0.534,0.1,4
duodenum,YOL034W,-0.2978,0.1,4
duodenum,YOL035C,0.2647,0.6844,4
duodenum,YOL036W,0.4533,0.281,4
duodenum,YOL037C,0.3415,0.4241,4
duodenum,YOL038W,0.6185,0.2107,4
duodenum,YOL039W,-1.878,0.9349,4
duodenum,YOL040C,-2.206,1.4482,4
duodenum,YOL041C,-1.5646,0.5547,4
duodenum,YOL042W,-0.3695,0.3718,4
duodenum,YOL043C,-0.066,0.2773,4
duodenum,YOL044W,-0.2223,0.1358,4
duodenum,YOL045W,-0.0393,0.2112,4
duodenum,YOL046C,-0.3918,0.321,4
duodenum,YOL047C,2.1043,0.9404,4
duodenum,YOL048C,1.7062,0.3332,4
duodenum,YOL049W,0.2975,0.2116,4
duodenum,YOL050C,0.1968,0.2748,4
duodenum,YOL051W,-0.1791,0.4567,4
duodenum,YOL052C,-0.7312,0.3883,4
duodenum,YOL052C-A,3.9465,0.245,4
duodenum,YOL053C,5.2393,0.1844,4
duodenum,YOL053W,0.8133,0.3024,4
duodenum,YOL054W,-0.5433,0.2697,4
duodenum,YOL055C,0.7703,0.1596,4
duodenum,YOL056W,-0.4278,0.126,4
duodenum,YOL057W,-0.3145,0.2224,4
duodenum,YOL058W,-0.0872,0.6312,4
duodenum,YOL059W,-0.0568,0.195,4
duodenum,YOL060C,1.0005,0.3557,4
duodenum,YOL061W,-1.1665,0.2764,4
duodenum,YOL062C,0.3018,0.1498,4
duodenum,YOL063C,0.1462,0.4217,4
duodenum,YOL064C,0.159,0.1499,4
duodenum,YOL065C,0.0672,0.4781,4
duodenum,YOL066C,0.3057,0.1,4
duodenum,YOL067C,0.0188,0.781,4
duodenum,YOL068C,0.0185,0.1754,4
duodenum,YOL069W,-0.2825,0.3021,4
duodenum,YOL070C,0.0388,0.1201,4
duodenum,YOL071W,1.7717,0.2247,4
duodenum,YOL072W,0.6435,0.7705,4
duodenum,YOL073C,0.938,0.3272,4
duodenum,YOL074C,0.0423,0.1915,4
duodenum,YOL075C,0.0248,0.3558,4
duodenum,YOL076W,-0.4975,0.1162,4
duodenum,YOL077C,-3.967,1.3599,4
duodenum,YOL078W,-0.033,0.6871,4
duodenum,YOL079W,-0.9905,0.2859,4
duodenum,YOL080C,-1.058,0.1248,4
duodenum,YOL081W,-0.6139,0.7016,4
duodenum,YOL082W,1.9025,0.346,4
duodenum,YOL083W,2.0023,0.1,4
duodenum,YOL084W,4.249,0.9928,4
duodenum,YOL085C,1.4423,0.2972,4
duodenum,YOL086C,1.1575,0.3552,4
duodenum,YOL087C,1.029,0.1773,4
duodenum,YOL088C,0.4603,0.1,4
duodenum,YOL089C,0.0985,0.104,4
duodenum,YOL090W,0.3753,0.1659,4
duodenum,YOL091W,-0.3808,0.3262,4
duodenum,YOL092W,-1.5595,0.3024,4
duodenum,YOL093W,-0.889,0.7738,4
duodenum,YOL094C,-0.2622,0.2438,4
duodenum,YOL095C,-0.224,0.2612,4
duodenum,YOL096C,1.1275,0.6039,4
duodenum,YOL097C,-1.7082,0.1365,4
duodenum,YOL098C,-0.167,0.387,4
duodenum,YOL099C,0.3672,0.6901,4
duodenum,YOL100W,0.7785,0.7179,4
duodenum,YOL101C,-1.572,1.7955,4
duodenum,YOL102C,-0.5405,0.2782,4
duodenum,YOL103W,-0.64,0.551,4
duodenum,YOL104C,0.062,0.664,4
duodenum,YOL105C,0.2185,0.4383,4
duodenum,YOL106W,-0.2327,0.735,4
duodenum,YOL107W,0.4758,0.5254,4
duodenum,YOL108C,0.3928,0.3935,4
duodenum,YOL109W,-0.4928,0.7351,4
duodenum,YOL110W,0.4331,0.7799,4
duodenum,YOL111C,0.052,0.3938,4
duodenum,YOL112W,-0.3363,0.6342,4
duodenum,YOL113W,0.599,0.6485,4
duodenum,YOL114C,0.2512,0.3901,4
duodenum,YOL115W,-0.8982,0.3913,4
duodenum,YOL116W,0.3882,0.2587,4
duodenum,YOL117W,1.1663,0.2946,4
duodenum,YOL118C,0.0708,0.2748,4
duodenum,YOL119C,0.8845,0.1228,4
duodenum,YOL120C,-1.9712,1.0604,4
duodenum,YOL121C,-2.1575,1.6097,4
duodenum,YOL122C,0.5811,0.1988,4
duodenum,YOL123W,-1.653,1.4973,4
duodenum,YOL124C,-3.2145,1.1642,4
duodenum,YOL125W,-1.736,0.8675,4
duodenum,YOL126C,1.1695,0.6913,4
duodenum,YOL127W,-2.1837,1.6373,4
duodenum,YOL128C,-0.3855,0.9596,4
duodenum,YOL129W,1.1502,0.1,4
duodenum,YOL130W,-0.9118,0.1839,4
duodenum,YOL131W,0.0943,0.1,4
duodenum,YOL132W,-0.4652,0.2517,4
duodenum,YOL133W,0.577,0.1,4
duodenum,YOL134C,0.5497,0.1112,4
duodenum,YOL135C,0.108,0.2088,4
duodenum,YOL136C,0.3278,0.157,4
duodenum,YOL137W,-0.4275,0.3869,4
duodenum,YOL138C,-0.1573,0.126,4
duodenum,YOL139C,-1.4153,0.8822,4
duodenum,YOL140W,-0.8583,0.1901,4
duodenum,YOL141W,-2.3262,0.229,4
duodenum,YOL142W,-0.8778,0.4398,4
duodenum,YOL143C,-0.2145,0.364,4
duodenum,YOL144W,-1.61,0.6441,4
duodenum,YOL145C,-0.4347,0.511,4
duodenum,YOL146W,0.044,0.1,4
duodenum,YOL147C,-0.3157,0.1146,4
duodenum,YOL148C,0.655,0.1604,4
duodenum,YOL149W,-0.9227,0.5874,4
duodenum,YOL150C,2.0875,0.2467,4
duodenum,YOL151W,2.1858,0.2577,4
duodenum,YOL152W,0.406,0.4061,4
duodenum,YOL153C,2.2153,0.9631,4
duodenum,YOL154W,0.2883,0.4221,4
duodenum,YOL155C,1.441,0.4065,4
duodenum,YOL156W,0.5767,0.2783,4
duodenum,YOL157C,0.0807,1.0352,4
duodenum,YOL158C,-0.437,0.4191,4
duodenum,YOL159C,0.559,0.1394,4
duodenum,YOL160W,-0.299,0.5082,4
duodenum,YOL161C,0.106,0.1689,4
duodenum,YOL162W,0.61,1.0721,4
duodenum,YOL163W,0.1205,0.1815,4
duodenum,YOL164W,-0.1452,0.1509,4
duodenum,YOL165C,-0.2275,0.176,4
duodenum,YOL166C,-0.505,0.2555,4
duodenum,YOR001W,-1.8538,0.6906,4
duodenum,YOR002W,0.086,0.1135,4
duodenum,YOR003W,1.3635,0.1679,4
duodenum,YOR004W,-3.001,0.5695,4
duodenum,YOR005C,0.555,0.1745,4
duodenum,YOR006C,-0.725,0.2049,4
duodenum,YOR007C,1.0255,0.1,4
duodenum,YOR008C,0.6775,0.2938,4
duodenum,YOR008C-A,-0.7901,0.3756,4
duodenum,YOR009W,-0.2233,0.4716,4
duodenum,YOR010C,-0.0787,0.1546,4
duodenum,YOR011W,-0.8313,0.1,4
duodenum,YOR012W,0.3155,0.5693,4
duodenum,YOR013W,0.2777,0.2161,4
duodenum,YOR014W,0.5887,0.1179,4
duodenum,YOR015W,0.2584,0.4315,4
duodenum,YOR016C,-0.0663,0.7421,4
duodenum,YOR017W,0.16,0.1,4
duodenum,YOR018W,1.3522,0.3088,4
duodenum,YOR019W,1.7872,0.6768,4
duodenum,YOR020C,2.3155,0.6237,4
duodenum,YOR021C,-1.8558,0.396,4
duodenum,YOR022C,0.6108,0.4986,4
duodenum,YOR023C,0.7557,0.5339,4
duodenum,YOR024W,0.115,1.2366,4
duodenum,YOR025W,-0.1315,0.2383,4
duodenum,YOR026W,-0.2687,0.3334,4
duodenum,YOR027W,2.5112,1.1888,4
duodenum,YOR028C,1.1935,1.4686,4
duodenum,YOR029W,0.0655,1.059,4
duodenum,YOR030W,-0.04,0.7354,4
duodenum,YOR031W,0.504,0.7016,4
duodenum,YOR032C,-0.279,1.0224,4
duodenum,YOR033C,-0.331,0.4287,4
duodenum,YOR034C,-0.1812,0.4269,4
duodenum,YOR035C,0.5615,0.674,4
duodenum,YOR036W,0.8773,0.5134,4
duodenum,YOR037W,0.1477,0.4399,4
duodenum,YOR038C,-0.2678,0.1983,4
duodenum,YOR039W,-0.2925,0.1973,4
duodenum,YOR040W,0.8493,0.4803,4
duodenum,YOR041C,0.2795,1.0255,4
duodenum,YOR042W,1.1233,0.5225,4
duodenum,YOR043W,-0.292,0.2007,4
duodenum,YOR044W,0.1265,0.2321,4
duodenum,YOR045W,-0.6478,0.1364,4
duodenum,YOR046C,-0.8025,0.392,4
duodenum,YOR047C,-0.423,0.5098,4
duodenum,YOR048C,-0.9574,0.1,4
duodenum,YOR049C,0.4032,0.7725,4
duodenum,YOR050C,0.5325,1.1576,4
duodenum,YOR051C,-1.6147,0.8041,4
duodenum,YOR052C,2.74,0.6382,4
duodenum,YOR053W,0.5235,0.7066,4
duodenum,YOR054C,1.3705,0.5859,4
duodenum,YOR055W,1.051,0.4534,4
duodenum,YOR056C,-2.375,0.749,4
duodenum,YOR057W,0.0237,0.1,4
duodenum,YOR058C,-0.1139,0.2193,4
duodenum,YOR059C,0.8397,0.1876,4
duodenum,YOR060C,0.4042,0.5023,4
duodenum,YOR061W,-0.7672,0.307,4
duodenum,YOR062C,0.3683,0.2314,4
duodenum,YOR063W,-1.9577,0.8581,4
duodenum,YOR064C,0.0135,0.1,4
duodenum,YOR065W,1.62,0.7013,4
duodenum,YOR066W,-0.1075,0.27,4
duodenum,YOR067C,-0.5967,0.2102,4
duodenum,YOR068C,0.079,0.2115,4
duodenum,YOR069W,0.0855,0.8451,4
duodenum,YOR070C,0.682,0.1,4
duodenum,YOR071C,0.0743,0.1426,4
duodenum,YOR072W,-0.0365,0.2977,4
duodenum,YOR073W,-0.7538,0.2251,4
duodenum,YOR074C,-0.432,0.4466,4
duodenum,YOR075W,0.1828,0.1491,4
duodenum,YOR076C,0.4555,0.1,4
duodenum,YOR077W,-0.3177,0.3006,4
duodenum,YOR078W,-1.5135,0.7257,4
duodenum,YOR079C,-0.479,0.371,4
duodenum,YOR080W,-0.2815,0.149,4
duodenum,YOR081C,0.4025,0.1404,4
duodenum,YOR082C,0.0445,0.3478,4
duodenum,YOR083W,0.284,0.3409,4
duodenum,YOR084W,0.3053,0.3505,4
duodenum,YOR085W,0.1552,0.124,4
duodenum,YOR086C,0.4098,0.3704,4
duodenum,YOR087W,0.3755,0.2231,4
duodenum,YOR088W,0.4765,0.35,4
duodenum,YOR089C,0.6863,0.1387,4
duodenum,YOR090C,0.5487,0.1085,4
duodenum,YOR091W,-1.907,0.7736,4
duodenum,YOR092W,0.6887,0.3647,4
duodenum,YOR093C,-0.4881,0.1141,4
duodenum,YOR094W,-0.5075,0.2076,4
duodenum,YOR095C,-3.5877,1.2136,4
duodenum,YOR096W,-2.5762,1.4877,4
duodenum,YOR097C,1.046,0.1,4
duodenum,YOR098C,-0.9457,0.2058,4
duodenum,YOR099W,-0.4865,0.3946,4
duodenum,YOR100C,1.478,0.287,4
duodenum,YOR101W,-1.796,0.8668,4
duodenum,YOR102W,-0.302,0.2369,4
duodenum,YOR103C,-0.3177,0.3487,4
duodenum,YOR104W,-0.1105,0.1774,4
duodenum,YOR105W,-0.0867,0.235,4
duodenum,YOR106W,-0.637,0.3054,4
duodenum,YOR107W,-0.5567,0.2516,4
duodenum,YOR108W,-1.675,0.3374,4
duodenum,YOR109W,0.2585,0.1466,4
duodenum,YOR110W,0.1705,0.5674,4
duodenum,YOR111W,0.3758,0.1178,4
duodenum,YOR112W,0.3337,0.1,4
duodenum,YOR113W,1.1205,0.371,4
duodenum,YOR114W,0.1062,0.2576,4
duodenum,YOR115C,-0.1042,0.1107,4
duodenum,YOR116C,-1.0482,0.2174,4
duodenum,YOR117W,0.55,0.3582,4
duodenum,YOR118W,-0.272,0.4785,4
duodenum,YOR119C,-1.131,0.4152,4
duodenum,YOR120W,3.2668,0.8658,4
duodenum,YOR121C,2.4705,0.8386,4
duodenum,YOR122C,0.5513,0.4619,4
duodenum,YOR123C,-0.4745,0.2321,4
duodenum,YOR124C,0.9779,0.5723,4
duodenum,YOR125C,0.307,0.3654,4
duodenum,YOR126C,0.2087,0.4903,4
duodenum,YOR127W,-0.9788,0.4265,4
duodenum,YOR128C,1.0493,0.842,4
duodenum,YOR129C,-0.6865,0.4799,4
duodenum,YOR130C,0.1953,0.3469,4
duodenum,YOR131C,0.3465,0.2592,4
duodenum,YOR132W,1.0375,0.5925,4
duodenum,YOR133W,-1.7225,0.5754,4
duodenum,YOR134W,2.357,0.8268,4
duodenum,YOR135C,2.3277,0.9251,4
duodenum,YOR136W,2.812,1.1181,4
duodenum,YOR137C,1.14,0.4616,4
duodenum,YOR138C,0.3285,0.5868,4
duodenum,YOR139C,-0.8478,0.1933,4
duodenum,YOR140W,-0.5715,0.3578,4
duodenum,YOR141C,0.111,0.4529,4
duodenum,YOR142W,0.9652,0.1487,4
